"sku","referencia","name","description","short_description","cod_cor","color","cod_tamanho","tamanho","qty","price","special_price","colecao","visibility","is_in_stock","type","attribute_set","product_website","status","weight"
"100021411","10.003.767","GOLA NEVASCA T REF: 10.003.767 (AZUL COLLEGE UN)","GOLA NEVASCA T",,"0283","AZUL COLLEGE","1","UN","6","119.70","36.00","32013","1","1","simple","Default","base","1","0.3"
"100021412","10.003.767","GOLA NEVASCA T REF: 10.003.767 (VERDE PROFUNDO UN)","GOLA NEVASCA T",,"0584","VERDE PROFUNDO","1","UN","6","119.70","36.00","32013","1","1","simple","Default","base","1","0.3"
"100025121","10.004.302","SHORT SOFIA M REF: 10.004.302 (GRAPE 42)","SHORT SOFIA M",,"0757","GRAPE","4","42","6","259.80","69.00","12013","1","1","simple","Default","base","1","0.3"
"100028785","10.004.939","VESTIDO PONTILHADO B REF: 10.004.939 (AZUL RIVIERA G)","VESTIDO PONTILHADO B",,"0249","AZUL RIVIERA","3","G","6","329.70","329.70","12014","1","1","simple","Default","base","1","0.3"
"100024338","10.004.171","CASACO AMORA M REF: 10.004.171 (SMILE 42)","CASACO AMORA M",,"1304","SMILE","4","42","6","399.60","79.00","12013","1","1","simple","Default","base","1","0.3"
"100021414","10.003.767","GOLA NEVASCA T REF: 10.003.767 (FOCA UN)","GOLA NEVASCA T",,"0831","FOCA","1","UN","6","119.70","36.00","32013","1","1","simple","Default","base","1","0.3"
"100031212","10.005.348","BLUSA MILANO B REF: 10.005.348 (PRETO G)","BLUSA MILANO B",,"1000","PRETO","3","G","6","189.60","189.60","12014","1","1","simple","Default","base","1","0.3"
"100032465","10.005.537","VESTIDO ILMA M REF: 10.005.537 (PEROLA 38)","VESTIDO ILMA M",,"0451","PEROLA","2","38","6","379.80","379.80","12014","1","1","simple","Default","base","1","0.3"
"100034768","10.005.783","VESTIDO MAXIMO  B REF: 10.005.783 (PEROLA P)","VESTIDO MAXIMO  B",,"0451","PEROLA","1","P","6","498.30","498.30","22014","1","1","simple","Default","base","1","0.3"
"100034988","10.005.213","VESTIDO PAULA M REF: 10.005.213 (GOIABA 40)","VESTIDO PAULA M",,"0913","GOIABA","3","40","6","419.10","419.10","12014","1","1","simple","Default","base","1","0.3"
"100030470","10.005.211","CASACO MAOR M REF: 10.005.211 (GOIABA 42)","CASACO MAOR M",,"0913","GOIABA","4","42","6","498.30","399.00","12014","1","1","simple","Default","base","1","0.3"
"100030152","10.005.159","TOP SUMER F REF: 10.005.159 (EST. TULIPA TROPICAIS M)","TOP SUMER F",,"3434","EST. TULIPA TROPICAIS","2","M","6","239.70","89.00","12013","1","1","simple","Default","base","1","0.3"
"100032629","10.005.451","BLUSA MANU  F REF: 10.005.451 (LAVANDA M)","BLUSA MANU  F",,"0766","LAVANDA","2","M","6","149.70","59.00","22013","1","1","simple","Default","base","1","0.3"
"100031790","10.005.289","CALCA STAR  M REF: 10.005.289 (EST. FLORES DO CAMPO 42)","CALCA STAR  M",,"3527","EST. FLORES DO CAMPO","4","42","6","339.90","238.00","12014","1","1","simple","Default","base","1","0.3"
"100031989","10.005.467","VESTIDO CLARA B REF: 10.005.467 (PEROLA G)","VESTIDO CLARA B",,"0451","PEROLA","3","G","6","339.90","339.90","22014","1","1","simple","Default","base","1","0.3"
"100038863","10.006.530","BLUSA POMODORO B REF: 10.006.530 (POMODORO P)","BLUSA POMODORO B",,"2630","POMODORO","1","P","6","179.70","108.00","32013","1","1","simple","Default","base","1","0.3"
"100039352","10.006.611","CHEMISE CHANTILLY F REF: 10.006.611 (PRETO 36)","CHEMISE CHANTILLY F",,"1000","PRETO","1","36","6","279.90","279.90","12014","1","1","simple","Default","base","1","0.3"
"100034836","10.005.795","VESTIDO ELLUS   M REF: 10.005.795 (PEROLA 40)","VESTIDO ELLUS   M",,"0451","PEROLA","3","40","6","459.60","459.60","12014","1","1","simple","Default","base","1","0.3"
"100034837","10.005.795","VESTIDO ELLUS   M REF: 10.005.795 (PEROLA 42)","VESTIDO ELLUS   M",,"0451","PEROLA","4","42","6","459.60","459.60","12014","1","1","simple","Default","base","1","0.3"
